"sex","birth","marriage","religion","income"
1,1986,5,2,174.7
2,1988,5,1,NA
1,1967,3,2,NA
2,1988,5,2,192.7
2,1990,5,2,217.8
2,1995,5,2,NA
2,1938,3,2,NA
2,1969,3,1,NA
2,1964,4,1,120
2,1990,5,1,160
2,1992,5,1,121.6
1,1960,1,1,210.4
2,1967,1,1,NA
2,1986,1,2,549.1
1,1997,5,1,NA
1,1946,3,2,47.5
2,1957,3,1,NA
2,1982,1,1,95
1,1979,1,1,216.6
2,2013,0,1,NA
1,1971,1,1,NA
2,1973,1,1,157.4
1,2004,0,1,NA
2,2006,0,1,NA
2,1965,3,2,170.4
1,1991,5,2,158.8
1,1992,5,2,258
1,1952,1,2,215.4
2,1954,1,1,NA
1,1978,1,2,583.3
2,1981,1,2,NA
2,1978,1,2,NA
1,1980,1,2,539.6
2,2010,0,2,NA
2,2011,0,2,NA
1,2012,0,2,NA
1,2014,0,2,NA
1,1936,1,1,NA
2,1940,1,1,NA
1,1951,1,1,118.1
2,1959,1,1,46.7
2,1946,2,2,NA
1,1975,5,2,459.4
2,1958,2,2,NA
2,1979,3,2,158
2,2001,0,2,NA
2,2004,0,2,NA
1,1960,1,1,NA
2,1959,1,1,100
2,1989,5,2,90
1,1938,1,1,NA
2,1943,1,1,NA
2,1996,5,2,160
1,1997,5,2,NA
1,1944,1,1,NA
2,1949,1,1,NA
1,1939,1,1,NA
2,1945,1,1,NA
2,1974,5,1,NA
2,1976,5,1,NA
1,1953,3,2,NA
2,1943,2,1,NA
1,1976,1,2,254.9
2,1981,1,2,NA
2,2011,0,2,NA
2,2013,0,2,NA
2,1950,2,1,132
1,1973,1,2,228.4
2,1979,1,1,273.4
2,2003,0,2,NA
2,1948,2,1,NA
1,2009,0,2,NA
1,1954,1,1,NA
2,1959,1,1,NA
1,1984,5,1,212.9
1,1927,1,2,NA
2,1935,1,2,NA
1,1922,2,2,NA
1,1935,1,1,NA
2,1939,1,1,NA
2,1936,2,2,NA
1,1930,1,2,NA
2,1932,1,2,NA
1,1960,3,2,NA
1,1935,1,1,NA
2,1935,1,1,NA
2,1935,2,2,NA
2,1950,2,1,NA
1,1958,1,2,562.5
2,1961,1,2,NA
2,1990,5,2,133.3
2,1992,5,2,NA
1,1967,1,2,429.2
2,1965,1,2,187.2
1,1989,5,2,228.3
1,1992,5,2,69.6
1,1942,1,1,20
2,1944,1,1,NA
1,1958,1,1,415.2
2,1961,1,1,NA
2,2001,0,1,NA
2,1953,2,2,NA
2,1951,2,2,NA
1,1952,1,1,NA
2,1952,1,1,142.6
2,1984,5,1,180
1,1982,5,1,208.3
1,1942,1,2,NA
2,1947,1,1,NA
1,1973,5,2,NA
2,1946,2,1,NA
1,1944,1,2,NA
2,1949,1,2,NA
1,1954,1,1,NA
2,1959,1,1,NA
2,1933,2,1,NA
1,1965,5,1,NA
1,1947,1,2,NA
2,1949,1,1,NA
1,1963,1,1,708.3
2,1965,1,1,NA
1,1968,5,2,250
1,1939,2,1,NA
2,1928,2,1,NA
1,1961,1,2,150
2,1961,1,2,NA
2,1983,5,2,NA
2,1989,5,2,178.7
2,1966,1,1,NA
1,1969,1,1,NA
2,2005,0,1,NA
1,2008,0,1,NA
1,1933,1,1,NA
2,1935,1,1,NA
2,1923,2,1,NA
2,1979,1,1,63.8
2,2007,0,1,NA
1,1974,1,1,605.5
1,1977,1,2,541.6
2,1976,1,1,50.4
2,2004,0,1,NA
1,2006,0,1,NA
1,2010,0,1,NA
1,1973,1,2,505.4
2,1973,1,1,125
1,2004,0,2,NA
1,2006,0,2,NA
1,2008,0,2,NA
1,1975,1,2,550
2,1977,1,2,NA
2,2001,0,2,NA
1,2003,0,2,NA
1,1962,1,1,667
2,1967,1,1,60
1,1987,5,1,100
1,1989,5,1,100
2,1997,5,1,NA
1,1943,1,2,88
2,1950,1,1,133
1,1953,5,1,NA
1,1970,1,1,490
2,1973,1,1,104
1,2000,0,1,NA
1,2002,0,1,NA
2,2010,0,1,NA
1,1968,1,2,542
2,1970,1,2,200
1,1998,0,2,NA
2,2004,0,2,NA
1,1968,1,2,532.5
2,1971,1,2,94.1
2,2000,0,2,NA
2,2004,0,2,NA
1,1970,1,2,583
2,1972,1,2,NA
1,1998,0,2,NA
2,2000,0,2,NA
1,1961,1,1,710
2,1966,1,1,NA
1,1991,5,2,NA
2,1994,5,1,NA
2,1997,5,1,NA
1,1957,1,2,NA
2,1980,1,2,213
2,1982,5,1,156
2,1963,1,2,NA
1,1979,1,2,413
1,1949,3,1,NA
1,1966,1,1,333
2,1972,1,1,338
1,1996,5,1,NA
2,1997,5,1,NA
2,2001,0,1,NA
1,1973,3,2,NA
1,2000,0,2,NA
2,2004,0,2,NA
1,1974,5,2,NA
1,1944,2,2,NA
1,1970,1,1,NA
2,1970,1,1,110
2,2001,0,1,NA
2,2003,0,1,NA
1,2004,0,1,NA
2,1934,2,2,NA
2,1936,2,1,NA
1,1959,3,1,257
1,1996,5,1,NA
2,1998,0,1,NA
2,1941,2,1,NA
2,1973,5,2,NA
1,1942,1,1,NA
2,1949,1,1,NA
2,1967,2,1,120
1,1995,5,2,NA
2,1997,5,1,NA
1,1974,5,2,324.7
2,1947,2,1,NA
1,1964,1,2,NA
2,1968,1,2,128
2,1991,5,2,170
2,1994,5,2,188
1,1955,1,2,258
2,1956,1,2,NA
1,1982,5,2,308
1,1961,1,1,NA
2,1961,1,1,109.6
2,1989,5,1,316.6
1,1991,5,1,NA
1,1932,1,2,NA
2,1939,1,1,NA
2,1938,2,1,NA
1,1956,3,2,NA
2,1939,2,1,NA
1,1975,5,2,250
1,1973,1,2,370
2,1974,1,2,118
1,2001,0,2,NA
1,2002,0,2,NA
1,1943,1,1,NA
2,1947,1,1,95
1,1937,3,2,NA
2,1942,2,2,NA
1,1939,3,1,NA
1,1970,1,2,350
2,1978,1,2,100
1,1996,5,2,200
1,1999,0,2,NA
1,1957,1,1,348.3
2,1964,1,2,100
1,1988,5,2,160
1,1991,1,1,250
2,1990,1,1,NA
2,2013,0,1,NA
1,2014,0,1,NA
1,1958,1,2,300
2,1966,1,2,250
1,1989,5,2,116
2,1991,5,2,275
2,1929,2,2,NA
1,1939,2,1,NA
1,1959,5,1,20
2,1941,2,1,NA
1,1969,1,2,NA
2,1970,1,2,192.5
2,1998,0,2,NA
2,2003,0,2,NA
2,1938,2,1,NA
1,1939,1,1,NA
2,1940,1,1,NA
1,1976,5,2,300
2,1950,2,2,NA
1,1952,2,1,NA
2,1982,1,1,250
1,1979,1,1,416.7
2,2010,0,1,NA
2,2013,0,1,NA
1,1964,1,1,198
2,1964,1,1,285
2,1991,5,1,NA
1,1934,4,1,NA
2,1936,2,2,NA
1,1939,1,2,NA
2,1941,1,2,NA
2,1932,2,1,NA
1,1992,5,1,NA
1,1995,5,1,NA
1,1962,2,1,330
1,1935,3,1,NA
1,1934,1,1,NA
2,1942,1,1,NA
1,1961,1,1,NA
2,1956,1,1,NA
2,1983,5,1,NA
1,1942,1,2,NA
2,1947,1,2,NA
1,1947,1,2,NA
2,1951,1,2,NA
1,1942,1,2,NA
2,1951,1,2,NA
2,1980,1,2,333.3
2,1982,5,2,300
1,1976,1,2,675.1
1,2010,0,2,NA
2,2014,0,2,NA
1,1974,1,2,250
2,1935,2,1,NA
2,1982,1,2,NA
2,2012,0,2,NA
1,1938,1,2,NA
2,1943,1,1,NA
1,1960,1,2,591
2,1965,1,1,NA
1,1994,5,2,NA
2,1996,5,2,NA
1,1952,1,2,209.6
2,1956,1,2,NA
1,1966,1,1,505
2,1967,1,1,191
1,1997,5,2,NA
1,2000,0,2,NA
1,1953,1,1,152
2,1958,1,1,175
2,1981,1,2,NA
1,1983,5,2,283.3
1,1979,1,2,599
2,2011,0,2,NA
2,2014,0,2,NA
1,1963,1,1,673
2,1965,1,1,NA
2,1989,5,2,261
1,1962,1,1,NA
2,1968,1,1,NA
1,1990,5,1,NA
1,1994,5,1,NA
1,1934,1,2,NA
2,1939,1,1,NA
1,1946,1,2,NA
2,1948,1,1,NA
2,1928,2,1,NA
1,1943,1,1,101.7
2,1946,1,1,NA
1,1974,1,1,364.3
2,1971,1,1,108
1,2000,0,1,NA
1,1973,1,1,NA
2,1978,1,1,NA
1,2004,0,1,NA
1,2006,0,1,NA
1,1973,1,1,138
2,1978,1,1,282.5
2,2003,0,1,NA
2,2006,0,1,NA
2,1957,2,1,NA
1,1969,1,2,450
2,1976,1,2,NA
2,2010,0,2,NA
2,2012,0,2,NA
2,1927,2,1,NA
1,1941,1,2,NA
2,1946,1,2,NA
1,1965,1,2,183.3
2,1970,1,2,NA
1,1995,5,2,NA
1,1998,0,2,NA
1,1963,1,2,300
2,1967,1,2,158
2,1990,5,2,NA
2,1958,3,2,NA
1,1985,5,2,NA
2,1925,2,2,NA
1,1965,1,1,257.7
2,1986,1,1,NA
1,2013,0,1,NA
1,1942,1,1,NA
2,1950,1,1,NA
1,1940,1,2,NA
2,1943,1,1,NA
1,1958,1,1,NA
2,1962,1,1,NA
2,1987,1,2,208
1,1991,5,2,NA
1,1985,1,2,247
1,1957,1,1,NA
2,1957,1,1,194.9
1,1951,3,2,NA
2,1996,1,2,84
1,1989,1,2,176.3
1,1963,3,2,NA
2,1968,3,2,NA
1,1997,5,2,NA
2,1939,4,1,NA
1,1961,5,2,162
1,1970,1,2,NA
2,1969,1,1,205
1,1995,5,1,NA
2,1998,0,1,NA
2,1971,1,2,229.3
2,1992,1,2,195
1,1967,1,2,306.3
1,2000,0,2,NA
1,1985,1,2,302
1,1941,1,1,NA
2,1940,1,1,NA
2,1952,3,1,NA
2,1944,2,1,NA
1,1970,1,2,210
2,1972,1,2,260
1,1975,1,2,NA
2,1981,1,2,NA
2,2011,0,2,NA
2,2012,0,2,NA
1,1966,1,2,320
2,1969,1,2,188.3
2,1995,5,2,38.4
1,1996,5,2,38.4
1,1999,0,2,NA
2,1929,2,2,NA
1,1927,2,2,NA
2,1943,3,1,NA
1,1930,1,1,NA
2,1937,1,1,NA
1,1931,1,2,NA
2,1937,1,2,NA
2,1964,3,2,210
2,1990,5,2,150
2,1941,3,1,NA
1,1945,1,1,NA
2,1939,1,1,NA
1,1943,1,2,NA
2,1948,1,1,30.8
2,1960,2,2,184.5
1,1986,5,2,193.6
1,1947,1,2,NA
2,1951,1,2,83
1,1957,1,1,249.6
2,1943,1,1,NA
2,1943,2,1,NA
1,1960,5,2,NA
1,1940,1,2,NA
2,1940,1,2,NA
1,1964,1,2,214
2,1968,1,2,NA
2,1999,0,2,NA
1,1956,1,1,186
2,1960,1,1,NA
2,1987,5,1,NA
2,1994,5,1,NA
2,1949,2,1,NA
2,1921,2,2,NA
2,1959,1,1,NA
1,1954,1,1,NA
1,1951,1,2,NA
2,1948,1,1,NA
1,1941,2,2,NA
2,1937,2,1,NA
2,1992,5,2,NA
1,1973,1,2,229.5
2,1955,2,2,211.3
1,1943,1,1,NA
2,1948,1,1,NA
2,1929,2,1,NA
1,1956,3,2,287.1
2,1934,2,2,NA
2,1938,2,2,NA
1,1964,3,2,NA
1,1968,1,2,308.6
2,1977,1,1,189.6
1,2001,0,1,NA
1,2002,0,1,NA
1,1963,1,1,NA
2,1964,1,1,76
2,1993,5,1,NA
2,1998,0,1,NA
1,1941,2,2,NA
1,1991,5,2,106.3
2,1965,3,2,NA
1,1977,1,1,NA
2,1976,1,1,NA
2,2002,0,1,NA
2,2005,0,1,NA
1,2007,0,1,NA
1,1964,1,1,465
2,1968,1,1,NA
2,1994,5,1,115.6
1,1995,5,1,NA
1,1943,1,1,NA
2,1946,1,1,NA
2,1951,3,1,NA
1,1943,1,2,NA
2,1946,1,2,NA
1,1971,1,2,790
1,1975,1,1,461
2,1975,1,1,137
1,2008,0,2,NA
2,1974,1,1,NA
2,2010,0,2,NA
1,2014,0,2,NA
1,1936,1,1,NA
2,1936,1,1,NA
1,1949,1,2,173
2,1952,1,2,NA
1,1977,1,2,295
2,1981,1,2,375
2,2011,0,2,NA
2,2014,0,2,NA
1,1939,1,1,NA
2,1943,1,1,NA
2,1972,3,1,352
1,2008,0,1,NA
1,1949,1,1,NA
2,1950,1,1,NA
1,1976,5,1,NA
1,1939,1,2,NA
2,1943,1,1,NA
2,1939,2,1,NA
1,1960,1,1,NA
2,1963,1,1,174.6
2,1989,1,1,NA
2,1991,5,1,210
2,1937,2,1,NA
2,1958,1,1,NA
1,1956,1,1,NA
1,1983,5,1,200
1,1985,5,1,250
1,1971,1,2,856
2,1977,1,2,NA
2,2002,0,2,NA
2,2009,0,2,NA
1,1940,1,1,NA
2,1945,1,1,NA
1,2009,0,1,NA
1,1969,1,2,NA
2,1972,1,2,NA
2,1999,0,2,NA
2,2002,0,2,NA
1,1961,1,1,259.5
2,1968,1,1,183
2,1996,5,1,NA
1,1960,1,1,NA
2,1965,1,1,NA
1,1991,5,1,NA
2,1994,5,1,NA
1,1967,1,1,NA
2,1968,1,1,NA
2,1998,0,1,NA
1,2001,0,1,NA
1,1936,1,2,NA
2,1935,2,2,NA
1,1954,1,2,100
2,1957,1,2,108
1,1987,5,2,208
2,1991,5,2,NA
2,1942,2,1,NA
1,1966,1,2,417.5
2,1972,1,2,NA
2,2001,0,2,NA
1,2004,0,2,NA
1,2005,0,2,NA
1,1944,1,1,NA
2,1947,1,1,NA
1,1947,1,2,190.4
2,1953,1,2,NA
2,1984,5,2,168
1,1961,1,1,230
2,1966,1,1,NA
2,1993,5,2,NA
1,1977,5,2,255.3
1,1959,1,1,427
2,1966,1,1,210.4
2,1995,5,1,180
1,1996,5,1,168
1,1938,1,1,NA
2,1937,1,1,NA
1,1989,5,1,NA
1,1974,1,2,341.3
2,1969,1,2,NA
1,1994,5,2,NA
2,2005,0,2,NA
1,1934,1,2,NA
2,1936,1,2,NA
2,1972,1,2,150
2,1999,0,2,NA
1,1966,1,2,410.4
1,1967,1,2,NA
2,1976,1,2,NA
1,2002,0,2,NA
1,2005,0,2,NA
1,1971,1,1,611
2,1972,1,1,NA
2,1999,0,2,NA
1,2002,0,2,NA
1,1972,1,1,410.8
2,1978,1,1,NA
2,2006,0,1,NA
1,2009,0,1,NA
1,1961,1,1,320
2,1962,1,1,NA
1,2000,0,1,NA
1,1970,1,1,515
2,1973,1,1,NA
1,2002,0,1,NA
1,2005,0,1,NA
2,2012,0,1,NA
1,1977,1,2,420
2,1980,1,1,55
1,2006,0,1,NA
2,2011,0,2,NA
1,1971,1,2,595.8
2,1975,1,1,140
2,1996,5,2,NA
1,2000,0,2,NA
1,1975,1,2,341.3
2,1977,1,2,NA
1,2001,0,2,NA
1,2003,0,2,NA
1,2009,0,2,NA
1,2013,0,2,NA
2,1939,2,2,NA
1,1978,5,2,202
1,1942,1,1,NA
2,1949,1,1,NA
1,2001,0,1,NA
2,1975,3,2,NA
1,1955,1,2,175
2,1964,1,2,NA
2,1950,2,1,88
1,1974,1,2,491.3
2,1975,1,2,NA
1,1998,0,2,NA
1,2001,0,2,NA
2,1952,2,2,NA
2,1967,3,1,NA
2,1994,5,2,NA
2,1944,2,2,NA
1,1936,2,2,NA
1,1973,5,2,311.1
2,1957,4,1,332
2,1982,1,1,283
1,1976,1,1,468.3
2,2013,0,1,NA
2,2015,0,1,NA
1,1968,1,2,267.9
2,1964,1,2,200.5
2,1999,0,2,NA
2,1960,3,2,NA
1,1984,5,2,188
2,1938,3,1,NA
1,1992,5,1,NA
2,1937,2,1,NA
2,1995,5,2,NA
1,1967,3,2,NA
2,1977,4,2,NA
1,2002,0,2,NA
1,2003,0,2,NA
1,2003,0,2,NA
1,1944,1,2,NA
2,1951,1,2,50
2,1937,2,1,NA
1,1960,2,1,210.4
2,1965,5,2,NA
1,1939,1,2,NA
2,1937,1,2,NA
1,1976,1,1,508
2,1977,1,1,NA
2,2004,0,1,NA
2,2006,0,1,NA
1,2011,0,1,NA
1,1981,1,1,358.3
2,1979,1,1,40
1,2003,0,1,NA
2,1956,2,1,93
1,1946,2,2,NA
1,1976,1,2,350
2,1979,1,1,NA
1,2012,0,1,NA
1,2014,0,1,NA
2,1928,2,1,NA
2,1943,2,1,NA
2,1958,2,2,NA
1,1988,5,2,160
2,1950,2,1,NA
1,1935,1,2,NA
2,1940,1,2,NA
1,1998,0,2,NA
1,1968,1,2,231.6
2,1968,1,2,163
1,1958,1,2,NA
2,1961,1,2,120
1,1998,0,2,NA
1,1970,1,2,522.6
2,1979,1,2,NA
1,2002,0,2,NA
2,2005,0,2,NA
2,1939,2,1,NA
1,1945,1,1,NA
2,1945,1,1,NA
2,1936,2,2,NA
1,1967,5,2,NA
2,1934,2,2,NA
1,1944,1,2,NA
2,1945,1,2,NA
2,1959,3,1,103
2,1993,5,1,90
2,1955,3,1,NA
1,1989,5,2,210.4
1,1932,1,1,NA
2,1941,1,1,NA
2,1973,5,2,160
2,1939,3,1,NA
1,1962,1,2,240
2,1962,1,2,250
2,1991,5,2,135
1,1993,5,2,67
2,2003,0,2,NA
1,1976,5,2,190
1,1940,1,1,NA
2,1948,1,1,NA
1,1976,1,2,415
2,1975,1,1,NA
1,2006,0,1,NA
2,2008,0,1,NA
1,1967,3,2,NA
2,2001,0,2,NA
1,1958,1,2,NA
2,1961,1,2,90
1,1988,5,2,367.7
2,1991,5,2,180
1,1974,3,1,375
2,1977,3,2,104.8
1,1997,5,1,NA
2,1999,0,1,NA
2,1938,2,1,NA
1,1961,1,1,NA
2,1964,1,1,NA
1,1999,0,1,NA
1,2002,0,1,NA
1,1954,1,2,NA
2,1963,1,1,160
1,1990,5,1,200
1,1993,5,1,NA
1,1976,1,1,500
2,1980,1,1,NA
1,2007,0,1,NA
1,2010,0,1,NA
2,1959,4,2,180
2,1991,5,2,130
1,1961,1,2,416.6
2,1967,1,2,250
2,1991,5,2,60
1,1993,5,2,NA
1,1997,5,2,NA
2,1949,2,1,NA
2,1978,1,1,190
1,1977,1,1,251
2,2008,0,1,NA
1,1961,3,2,200
1,1996,5,2,NA
1,1998,0,2,NA
2,1940,2,2,NA
2,1970,3,1,180
1,1994,5,1,NA
1,1997,5,1,NA
1,1978,1,1,300
2,1980,1,1,NA
2,2006,0,1,NA
2,2011,0,1,NA
1,2014,0,1,NA
2,1947,1,2,NA
1,1949,1,2,NA
2,1948,2,2,30
1,1968,1,1,NA
2,1969,1,1,200
1,1994,5,1,NA
2,1999,0,1,NA
1,1930,1,2,NA
2,1944,1,2,20
1,1975,1,2,340
2,1981,1,2,NA
1,2005,0,2,NA
1,2007,0,2,NA
1,1972,1,2,572
2,1975,1,2,170.5
2,2004,0,2,NA
2,2006,0,2,NA
2,1957,2,1,NA
1,1985,5,2,310
1,1974,1,2,500
2,1976,1,2,NA
1,2004,0,1,NA
1,2008,0,1,NA
1,1966,1,1,NA
2,1966,1,1,NA
2,1993,5,1,NA
1,1999,0,1,NA
2,2001,0,1,NA
1,1960,1,2,NA
2,1968,1,1,NA
2,1995,5,1,NA
1,1998,0,2,NA
1,1974,1,1,NA
2,1982,1,1,NA
2,2003,0,1,NA
1,2004,0,1,NA
1,1965,1,1,593.3
2,1966,1,1,94
2,1996,5,1,NA
2,1963,3,2,75
1,1987,5,2,NA
1,1964,1,1,693.3
2,1964,1,1,12
2,2004,0,1,NA
2,1976,3,1,150
2,2002,0,1,NA
1,2006,0,1,NA
1,1953,1,2,NA
2,1955,1,2,NA
2,1953,2,1,NA
1,1957,1,1,NA
2,1963,1,1,118
2,1990,5,2,158
2,1992,5,2,188
2,2002,0,1,NA
1,1967,3,2,371
1,1999,0,2,NA
1,1938,1,2,NA
2,1947,1,1,NA
1,1961,5,1,NA
2,1943,2,1,NA
1,2006,0,1,NA
1,1959,1,2,418
2,1965,1,2,NA
2,1935,2,1,NA
1,1960,1,2,NA
2,1963,1,2,NA
1,1991,5,2,NA
1,1935,1,1,NA
2,1941,1,1,NA
2,1952,2,2,NA
1,1974,1,2,NA
2,1976,1,2,132
1,2004,0,2,NA
2,1940,2,2,NA
2,2007,0,2,NA
1,1955,1,1,NA
2,1966,1,1,NA
2,1985,1,2,230
1,1983,1,2,354
2,2011,0,2,NA
1,1964,5,2,NA
2,1938,2,2,NA
1,1955,1,2,NA
2,1956,1,2,NA
1,1961,5,2,NA
2,1946,2,2,NA
2,1924,2,2,NA
1,1940,1,2,NA
2,1946,1,2,NA
2,1972,3,2,NA
2,1942,2,1,NA
1,1933,1,1,NA
2,1939,1,1,NA
2,1933,2,1,NA
1,1933,1,1,NA
2,1937,1,1,NA
1,1961,5,2,NA
2,1934,2,2,NA
1,1940,1,1,NA
2,1942,1,1,NA
1,1946,1,2,NA
2,1953,1,2,NA
2,1942,2,1,NA
2,1936,2,2,NA
1,1954,3,2,NA
1,1978,5,2,NA
1,1981,5,2,NA
1,1956,1,2,NA
2,1956,1,2,NA
1,1987,5,2,112
1,1990,5,2,NA
1,1936,1,2,NA
2,1938,1,2,NA
1,1949,1,2,NA
2,1946,1,2,NA
1,1984,1,2,235
2,1935,2,1,NA
1,1969,5,2,160
1,1937,1,1,NA
2,1942,1,1,NA
1,1959,1,1,411
2,1965,1,1,NA
1,1995,5,2,NA
1,1992,5,2,NA
2,1948,2,2,NA
1,1938,1,2,NA
2,1935,1,2,NA
2,1928,2,2,NA
2,1928,2,1,NA
2,1981,1,1,NA
2,1985,5,1,133
1,1982,1,1,187.1
1,1953,1,1,NA
2,1960,1,1,NA
1,1953,5,2,NA
2,1936,2,2,NA
2,1927,2,2,NA
2,1932,2,2,NA
2,1973,5,2,NA
1,1928,2,2,NA
1,1940,1,2,NA
2,1939,1,2,NA
1,1968,1,1,196.8
2,1969,1,1,NA
1,1997,5,1,NA
2,2002,0,1,NA
1,1946,1,2,NA
2,1952,1,2,NA
2,1949,2,2,NA
2,1964,3,1,168
2,1996,5,1,NA
2,1928,2,1,NA
1,1979,1,2,NA
2,1983,1,2,NA
2,2004,0,2,NA
1,2006,0,2,NA
2,1942,2,1,NA
1,1998,0,1,NA
1,2001,0,1,NA
1,1951,1,1,NA
2,1954,1,1,NA
1,1989,5,1,NA
1,1952,1,1,NA
2,1955,1,1,136.5
2,1987,5,1,182
2,1932,2,1,NA
2,2002,0,1,NA
1,1943,1,1,NA
2,1947,1,1,115.8
2,1942,2,2,NA
1,1946,1,1,NA
2,1951,1,1,NA
2,1939,2,1,NA
1,1936,1,2,20
2,1940,1,2,20
1,1942,1,2,NA
2,1946,1,2,NA
1,1971,1,2,314.6
2,1976,1,2,97.1
1,1999,0,2,NA
1,2001,0,2,NA
2,2003,0,2,NA
2,1960,3,1,152.4
2,1987,5,1,NA
1,1991,5,1,227.7
2,1936,2,2,NA
1,1960,3,2,NA
1,1998,0,2,NA
1,1943,4,2,NA
1,1980,1,2,188.8
2,1980,1,2,0
2,2008,0,2,NA
2,1955,2,2,NA
2,1981,1,1,233.3
1,1981,1,1,233.3
2,1942,2,1,20
1,1964,3,2,NA
2,1956,2,1,NA
2,1952,3,2,NA
2,1938,2,2,NA
1,1949,3,2,NA
1,1999,0,2,NA
1,1976,1,2,NA
1,2003,0,2,NA
2,1978,1,2,NA
1,2012,0,2,NA
1,2014,0,2,NA
2,1940,2,2,NA
1,1955,1,1,NA
2,1956,1,2,NA
2,1946,2,1,NA
1,1942,1,1,120.8
2,1946,1,1,NA
2,1928,2,2,NA
1,1954,5,2,NA
1,1939,1,1,NA
2,1944,1,1,NA
1,1959,3,2,164
1,1990,5,2,201.6
1,1945,1,2,NA
2,1949,2,1,NA
1,1977,5,1,81.7
1,1978,5,1,140.4
1,1980,5,1,87
1,1987,5,2,NA
1,1989,5,2,40
2,1994,5,2,NA
1,1974,1,2,216
2,1975,1,2,NA
2,2007,0,2,NA
1,1974,1,2,521.3
2,1977,1,2,NA
1,2005,0,2,NA
1,2009,0,2,NA
1,1967,1,2,500
2,1969,1,2,174.1
2,1999,0,2,NA
2,2002,0,2,NA
1,1955,1,2,NA
2,1957,1,2,115
2,1986,5,2,232.7
1,1972,1,2,NA
2,1970,1,2,NA
2,1997,5,2,NA
1,1998,0,2,NA
2,1933,2,2,NA
1,1967,5,2,220.2
1,1941,1,1,NA
2,1942,1,1,NA
1,1968,1,1,NA
2,1974,1,1,685
1,2000,0,1,NA
1,2005,0,1,NA
1,1967,1,2,NA
2,1970,1,1,NA
2,1997,5,2,NA
2,1999,0,1,NA
1,2004,0,2,NA
1,1975,1,1,460.4
2,1978,1,1,NA
2,2009,0,1,NA
1,1956,1,1,75.5
2,1958,1,2,130
2,1985,5,1,135.5
1,1941,1,1,NA
2,1952,1,1,NA
2,1980,3,1,NA
1,2004,0,1,NA
1,2005,0,1,NA
2,2008,0,1,NA
1,1972,1,2,281.7
2,1971,1,2,NA
2,2004,0,2,NA
1,2006,0,2,NA
1,1961,1,2,NA
2,1970,1,2,128.4
2,1993,5,2,NA
1,1995,5,2,NA
1,1965,3,1,NA
1,1997,5,1,35
2,1967,3,2,200
2,1991,5,2,100
1,2001,0,2,NA
1,1971,1,1,117
2,1976,1,1,NA
2,2005,0,1,NA
1,1944,1,2,NA
2,1948,1,1,22
1,1964,1,2,NA
2,1973,1,2,NA
1,1994,5,2,151.6
1,2000,0,2,NA
1,1964,1,2,158.8
2,1972,1,1,NA
2,1997,5,1,NA
1,1999,0,2,NA
2,2001,0,2,NA
1,1942,1,1,NA
2,1945,1,1,NA
1,1963,1,1,541.7
2,1964,1,1,158.8
1,1989,5,1,NA
1,1991,5,1,NA
1,1935,2,1,20
1,1962,1,2,837.5
2,1965,1,2,NA
1,1992,5,2,201.7
1,1994,5,2,NA
1,1957,1,1,NA
2,1959,1,1,NA
1,1990,5,1,NA
1,1963,1,2,552.5
2,1967,1,2,NA
2,1998,0,2,NA
1,1965,1,1,NA
2,1969,1,1,NA
2,1999,0,1,NA
2,2001,0,1,NA
1,1944,1,1,NA
2,1957,1,1,NA
2,1948,2,2,NA
2,1944,2,1,NA
2,1942,2,2,NA
2,1974,1,1,138.6
1,1976,1,1,371
2,2011,0,1,NA
2,1962,2,1,131.2
1,1992,5,1,NA
2,1983,1,2,NA
1,1975,1,2,NA
2,2014,0,2,NA
1,1939,2,2,NA
1,1968,5,2,217.5
1,1970,1,2,262
1,1931,1,2,NA
2,1940,1,2,NA
2,1983,1,2,132
1,2011,0,2,NA
1,1943,1,2,NA
2,1949,1,2,NA
1,1976,1,2,398.3
2,1982,1,2,311.7
2,2011,0,2,NA
1,2013,0,2,NA
2,1942,2,1,NA
2,1937,2,1,NA
2,1922,2,2,NA
1,1937,2,1,NA
2,1957,3,1,NA
1,1987,5,2,171.6
1,1984,5,2,166.6
2,1938,2,1,NA
2,1942,2,2,NA
1,1968,5,2,NA
1,1974,5,2,NA
1,1955,1,1,200
2,1958,1,1,114
2,1997,5,1,NA
2,1922,2,1,NA
1,1946,2,2,NA
1,1977,5,2,NA
1,1957,1,2,239.2
2,1959,1,2,NA
1,1982,5,2,214.6
1,1948,1,2,NA
2,1958,1,1,NA
1,1979,5,2,NA
1,1980,5,2,NA
2,1944,2,1,NA
1,1952,1,1,NA
2,1956,1,1,NA
2,1982,5,1,310
1,1944,1,1,NA
2,1953,1,1,NA
1,1980,5,2,40
1,1942,1,1,138.1
2,1954,1,1,NA
2,1986,5,2,205.5
1,1962,1,2,NA
2,1967,1,2,NA
2,1991,5,2,110.4
1,1935,1,1,NA
2,1941,1,1,NA
1,1950,2,2,NA
1,1958,1,2,185.4
2,1960,1,2,164
1,1988,5,2,72.5
1,1991,5,2,132
1,1951,1,2,NA
2,1950,1,2,NA
1,1982,5,2,NA
1,1974,1,1,NA
2,1974,1,1,430
2,2006,0,1,NA
1,2008,0,1,NA
2,1962,3,1,70
2,2000,0,1,NA
1,1983,1,1,465
2,1983,1,1,NA
1,2008,0,1,NA
1,1954,1,2,NA
2,1953,1,2,30
1,1979,5,2,170
