province,office,address,website
전남,광양경찰서,전남 광양시 광양읍 제철로 16-16,http://www.jnpolice.go.kr/gwangyang
전남,구례경찰서,전남 구례군 구례읍 봉성로 74,http://www.jnpolice.go.kr/gurye
전남,나주경찰서,전남 나주시 영산로 5415-22,http://www.jnpolice.go.kr/naju
전남,담양경찰서,전남 담양군 담양읍 무정로 15,http://www.jnpolice.go.kr/damyang
전남,목포경찰서,전남 목포시 용당로 300,http://www.jnpolice.go.kr/mokpo
전남,무안경찰서,전남 무안군 무안읍 무안로 470,http://www.jnpolice.go.kr/muan
전남,보성경찰서,전남 보성군 보성읍 중앙로 88,http://www.jnpolice.go.kr/bosung
전남,순천경찰서,전남 순천시 조비길 2,http://www.jnpolice.go.kr/suncheon
전남,여수경찰서,전남 여수시 하멜로 2,http://www.jnpolice.go.kr/yeosu
전남,영광경찰서,전남 영광군 영광읍 중앙로 211,http://www.jnpolice.go.kr/younggwang
전남,영암경찰서,전남 영암군 영암읍 서남리 남문로 19,http://www.jnpolice.go.kr/youngam
전남,완도경찰서,전남 완도군 완도읍 농공단지길 32,http://www.jnpolice.go.kr/wando
전남,장성경찰서,전남 장성군 장성읍 영천로 164,http://www.jnpolice.go.kr/jangsung
전남,장흥경찰서,전남 장흥군 장흥읍 읍성로 123,http://www.jnpolice.go.kr/janghyung
전남,진도경찰서,전남 진도읍 남산2길 33,http://www.jnpolice.go.kr/jindo
전남,함평경찰서,전남 함평군 함평읍 중앙길 220,http://www.jnpolice.go.kr/hampyung
전남,화순경찰서,전남 화순군 화순읍 자치샘로 29,http://www.jnpolice.go.kr/hwasun
전남,해남경찰서,전남 해남군 해남읍 영빈로 61,http://www.jnpolice.go.kr/haenam
경북,경북지방경찰청,대구시 북구 연암로 40,http://www.gbpolice.go.kr
경북,경산경찰서,경북 경산시 원효로 68,http://www.gbpolice.go.kr/gs
경북,경주경찰서,경북 경주시 중앙로 63,http://www.gbpolice.go.kr/gj
경북,고령경찰서,경북 고령군 고령읍 대가야로 1411,http://www.gbpolice.go.kr/gr
경북,구미경찰서,경북 구미시 송원동로 11-4,http://www.gbpolice.go.kr/gm
경북,군위경찰서,경북 군위군 군위읍 중앙길 74,http://www.gbpolice.go.kr/gw
경북,김천경찰서,경북 김천시 김천로 164,http://www.gbpolice.go.kr/gc
